artifact_id,n_categories_geq1,n_categories_geq2
claude__iclr2025_data_problems,6,1
claude__iclr2025_dl4c,11,2
claude__iclr2025_scsl,7,3
claude__iclr2025_verifai,10,2
codex__iclr2025_data_problems,5,2
codex__iclr2025_dl4c,11,2
codex__iclr2025_mldpr,9,1
codex__iclr2025_question,7,1
gemini-cli__iclr2025_bi_align,2,1
gemini-cli__iclr2025_dl4c,6,2
gemini-cli__iclr2025_scsl,3,1
gemini-cli__iclr2025_verifai,4,1
gemini__iclr2025_bi_align,7,0
gemini__iclr2025_data_problems,8,3
gemini__iclr2025_question,6,1
gemini__iclr2025_scsl,8,2
o4-mini__iclr2025_dl4c,6,0
o4-mini__iclr2025_scope,5,1
o4-mini__iclr2025_scsl,6,0
o4-mini__iclr2025_wsl,7,1
